,student_id,school_id,composite_level,composite_score,district_id_y,ethnicity,eco,el,spec_ed
8457,9182339935,800402807,At Benchmark,324,800402,White,NO,NO,NO
8458,9182981559,801102849,At Benchmark,326,801102,White,YES,NO,NO
8459,9182657338,844408808,Below Benchmark,281,844408,White,YES,NO,NO
8460,9182552921,818402807,Well Below Benchmark,249,818402,White,NO,NO,NO
8461,9181838442,86136006,Well Below Benchmark,276,86136,White,NO,NO,NO
8462,9181331898,,Below Benchmark,300,58406,White,NO,NO,NO
8463,9181691446,834404804,Below Benchmark,302,834404,White,YES,NO,NO
8465,9181147678,801102834,Above Benchmark,365,801102,White,NO,NO,NO
8466,9184823516,90407008,Below Benchmark,285,90407,White,NO,NO,NO
8467,9184965247,787406805,At Benchmark,319,787109,White,NO,NO,NO
8468,9184622164,820407883,At Benchmark,308,820407,White,NO,NO,NO
8469,9184573473,772189008,Above Benchmark,333,772189,White,NO,NO,NO
8470,9178877674,19488807,At Benchmark,325,19488,White,NO,NO,NO
8471,9178763365,819407804,Below Benchmark,291,819407,White,YES,NO,NO
8472,9178321826,778108053,Below Benchmark,286,778108,White,NO,NO,NO
8473,9178588347,96407808,At Benchmark,308,96407,White,YES,NO,NO
8474,9177668282,808407859,Well Below Benchmark,243,808407,White,YES,NO,YES
8475,9177658616,58107009,Well Below Benchmark,263,58107,White,YES,NO,NO
8476,9177482452,825403808,At Benchmark,324,825403,White,NO,NO,NO
8477,9173875877,844408886,Above Benchmark,337,844408,White,NO,NO,NO
8478,9173911546,93408883,Below Benchmark,289,93408,White,NO,NO,NO
8479,9173576966,20401801,At Benchmark,320,20401,White,YES,NO,YES
8480,9173125634,844408801,At Benchmark,312,844408,White,NO,NO,NO
8481,9179369547,818408807,Above Benchmark,344,818408,White,NO,NO,NO
8482,9179972136,808406808,Well Below Benchmark,272,808406,White,YES,NO,NO
8483,9179234475,83406808,Above Benchmark,357,83406,White,NO,NO,NO
8484,9176984391,,Above Benchmark,350,76407,White,NO,NO,NO
8485,9176686448,1407809,Well Below Benchmark,249,1407,White,NO,NO,NO
8486,9176594243,888408809,Well Below Benchmark,259,888408,White,NO,NO,NO
8487,9176175442,93408883,At Benchmark,322,93408,White,YES,NO,YES
8488,9176116443,787480808,Well Below Benchmark,272,787480,White,YES,NO,NO
8489,9176148174,,Well Below Benchmark,279,792408,White,YES,NO,NO
8490,9175776276,819402807,Below Benchmark,282,819402,White,NO,NO,NO
8491,9175355299,62488805,Above Benchmark,337,62488,White,NO,NO,YES
8492,9172944867,62488808,Above Benchmark,390,62488,White,NO,NO,NO
